id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,installment,default_risk,loan_status
1002528,26150, 36 months,20.79,E,E2,Sales,6 years,MORTGAGE,127367.65876875113,Source Verified,Aug-2015,credit_card,credit_card,565xx,NM,30.44568166744172,Jan-2005,735,739,4,11,1,47031,99.58603944984264,22,w,Individual,9,0,982.39,1,Charged Off
1002529,32852, 60 months,6.99,A,A3,Manager,2 years,RENT,100930.04642357277,Source Verified,Jul-2018,debt_consolidation,debt_consolidation,605xx,MI,22.503284226277806,Jan-1996,770,774,1,11,0,34602,0.8752678576882889,26,w,Individual,2,1,650.35,0,Fully Paid
1002530,2283, 36 months,9.1,B,B1,Director,4 years,RENT,26109.806422605605,Not Verified,Mar-2015,home_improvement,home_improvement,969xx,SC,28.864864392991706,Feb-2004,752,756,0,12,0,41441,32.70620105901892,31,f,Individual,1,0,72.71,0,Fully Paid
1002531,34691, 36 months,5.03,A,A4,Manager,2 years,RENT,102745.43462590026,Source Verified,Jun-2018,other,other,756xx,KY,0.15800630005689875,Aug-2004,738,742,2,9,2,40464,17.8123957488761,24,f,Individual,4,0,1040.19,0,Fully Paid
1002532,2125, 36 months,12.46,C,C3,nan,1 year,OWN,90241.94690802883,Verified,Dec-2017,debt_consolidation,debt_consolidation,224xx,AK,27.416959251480773,Apr-1993,711,715,1,8,1,6661,23.930457222415015,16,w,Individual,4,0,71.05,0,Fully Paid
1002533,2529, 36 months,10.82,B,B1,Supervisor,2 years,OWN,18846.31701254848,Verified,Jul-2017,credit_card,credit_card,963xx,CO,1.6810764007115653,Apr-2010,688,692,0,8,0,30076,46.03209028958246,18,f,Individual,7,0,82.58,0,Fully Paid
1002534,27170, 60 months,22.34,F,F5,nan,nan,MORTGAGE,55374.54748377442,Source Verified,Jan-2016,other,other,482xx,NH,35.50601289407727,May-2006,828,832,0,6,1,22204,84.14151892796463,14,f,Joint App,9,0,755.67,0,Fully Paid
1002535,9438, 36 months,19.92,E,E2,Driver,9 years,MORTGAGE,112923.10425769842,Verified,Sep-2016,credit_card,credit_card,732xx,ID,35.86103892578187,Sep-2002,708,712,3,6,0,32733,18.344590323771857,23,f,Individual,4,0,350.37,1,Charged Off
1002536,21095, 36 months,6.69,A,A1,Director,8 years,MORTGAGE,16286.276791626922,Verified,Mar-2015,debt_consolidation,debt_consolidation,205xx,SC,4.572800954086587,Jan-2005,820,824,0,9,0,5540,49.438228522658335,19,w,Individual,7,0,648.37,0,Fully Paid
1002537,17154, 60 months,19.82,E,E3,RN,8 years,MORTGAGE,89879.12593856838,Verified,May-2015,debt_consolidation,debt_consolidation,129xx,NJ,27.185190025804125,Mar-1995,776,780,0,12,0,21289,81.56868181734949,28,w,Joint App,1,0,452.76,1,Charged Off
1002538,9004, 60 months,18.51,E,E4,Driver,7 years,RENT,74955.06476717061,Source Verified,Dec-2018,credit_card,credit_card,329xx,MS,26.725750139815915,Sep-1995,673,677,0,10,2,27392,54.671164020669785,16,w,Individual,2,0,231.15,1,Charged Off
1002539,10752, 36 months,10.63,B,B5,Teacher,6 years,MORTGAGE,61869.41975815498,Verified,Jun-2017,debt_consolidation,debt_consolidation,148xx,SD,19.923266573936434,Jun-1995,692,696,3,9,0,21881,16.687118464006133,24,f,Individual,2,0,350.13,0,Fully Paid
1002540,27819, 36 months,5.31,A,A5,Teacher,< 1 year,RENT,400893.5716282497,Verified,Jan-2017,credit_card,credit_card,945xx,PA,1.0009456319250676,Oct-2008,674,678,1,15,0,39304,10.364198019772298,27,f,Individual,8,0,837.64,0,Fully Paid
1002541,37632, 36 months,7.3,A,A1,Supervisor,8 years,MORTGAGE,92510.81224426099,Not Verified,Dec-2017,medical,medical,110xx,AK,4.564139906651143,Jul-1992,682,686,4,12,0,21605,99.26937494378355,24,f,Joint App,0,0,1167.14,0,Fully Paid
1002542,27515, 36 months,10.0,B,B1,Director,9 years,MORTGAGE,43533.51000008289,Source Verified,May-2015,debt_consolidation,debt_consolidation,242xx,MO,26.371021623475425,Dec-1992,719,723,1,14,0,24555,77.88992145529654,25,w,Individual,2,0,887.83,0,Fully Paid
1002543,25217, 60 months,21.33,E,E2,RN,1 year,RENT,50394.705766799576,Not Verified,Feb-2015,home_improvement,home_improvement,207xx,VA,21.184716702296683,Nov-1996,665,669,2,9,0,29467,81.3955930391906,13,f,Individual,1,0,686.89,1,Charged Off
1002544,24172, 36 months,14.31,D,D5,nan,5 years,MORTGAGE,103161.43147701221,Not Verified,Jun-2016,home_improvement,home_improvement,430xx,AZ,1.8502559934444207,Jul-1993,686,690,1,6,0,13918,67.6829886866988,8,f,Individual,6,0,829.79,0,Fully Paid
1002545,33994, 36 months,23.37,F,F5,Teacher,9 years,MORTGAGE,86409.10936870864,Source Verified,Aug-2016,debt_consolidation,debt_consolidation,982xx,AZ,20.702270089912787,Sep-1998,799,803,1,11,0,39790,77.15964385710893,27,w,Individual,5,1,1322.46,0,Fully Paid
1002546,16036, 36 months,20.78,E,E2,Driver,4 years,MORTGAGE,51325.91088851266,Verified,Mar-2017,medical,medical,804xx,NV,33.969456602580436,Mar-2009,750,754,0,6,0,3500,59.65116350371217,14,f,Individual,1,0,602.35,1,Charged Off
1002547,12739, 36 months,10.74,B,B4,Manager,5 years,MORTGAGE,109660.03197900033,Not Verified,Dec-2015,debt_consolidation,debt_consolidation,841xx,VA,35.61874152797324,Nov-2006,702,706,0,6,2,5342,79.820663403197,6,f,Individual,1,0,415.49,0,Fully Paid
1002548,33220, 36 months,21.91,E,E2,RN,7 years,RENT,32144.946619212256,Verified,Jul-2017,debt_consolidation,debt_consolidation,546xx,FL,27.879510765948137,Jun-1992,714,718,0,13,0,20380,96.38278015111405,30,w,Individual,9,0,1267.14,1,Charged Off
1002549,10587, 60 months,7.33,A,A3,Supervisor,7 years,MORTGAGE,102482.73179398624,Verified,Apr-2017,major_purchase,major_purchase,331xx,AR,26.50577074954346,Jan-1998,684,688,4,6,0,31976,53.590765656170326,9,f,Individual,5,0,211.29,0,Fully Paid
1002550,31129, 36 months,5.72,A,A3,nan,9 years,RENT,45590.96969511966,Verified,Nov-2018,credit_card,credit_card,274xx,MI,30.764265279530427,Nov-1997,704,708,0,8,2,14382,51.34149246496167,12,w,Individual,2,0,943.06,0,Fully Paid
1002551,1645, 36 months,17.17,D,D1,Manager,1 year,RENT,88943.4637664053,Source Verified,May-2016,debt_consolidation,debt_consolidation,190xx,GA,5.336556890500583,Nov-2008,743,747,0,12,0,20055,66.36695421786057,20,f,Individual,4,0,58.79,0,Fully Paid
1002552,31930, 60 months,11.83,C,C2,Sales,6 years,RENT,177850.36804889084,Not Verified,Jul-2015,debt_consolidation,debt_consolidation,295xx,SC,7.607808898923021,Mar-2007,724,728,4,15,0,40940,95.29450663338326,34,f,Individual,4,0,707.53,0,Fully Paid
1002553,17299, 36 months,11.59,C,C2,Supervisor,1 year,MORTGAGE,19696.606440909298,Not Verified,Apr-2016,debt_consolidation,debt_consolidation,841xx,NC,19.429413549898563,Nov-2005,753,757,0,10,0,8463,35.641556415289614,11,w,Individual,8,0,571.19,0,Fully Paid
1002554,31090, 60 months,18.74,E,E1,Driver,< 1 year,MORTGAGE,48538.641562646524,Source Verified,Jul-2015,vacation,vacation,931xx,KS,18.04090647457235,Aug-2006,667,671,2,7,2,28824,39.081387971139804,22,w,Individual,5,0,802.05,1,Charged Off
1002555,22953, 36 months,22.0,F,F4,RN,nan,MORTGAGE,16199.12030564054,Verified,Jul-2015,debt_consolidation,debt_consolidation,477xx,AZ,7.374433011555497,Mar-1993,797,801,0,11,2,47879,69.92083608756512,12,w,Joint App,7,0,876.59,0,Fully Paid
1002556,27475, 36 months,11.44,C,C2,Teacher,7 years,MORTGAGE,87828.6967488253,Verified,Jun-2018,other,other,935xx,PA,27.13035632916491,Jun-1997,836,840,1,7,0,35754,43.18097359915437,26,f,Individual,3,0,905.23,0,Fully Paid
1002557,19888, 36 months,11.5,C,C5,Engineer,8 years,RENT,120544.1399022001,Verified,May-2017,debt_consolidation,debt_consolidation,650xx,AL,29.643442963037735,May-1999,723,727,0,14,0,19212,52.78463581626589,27,w,Individual,4,1,655.83,0,Fully Paid
1002558,17087, 60 months,15.68,D,D2,Supervisor,6 years,MORTGAGE,40284.9225332259,Source Verified,Sep-2018,credit_card,credit_card,105xx,OH,10.833754597352687,Dec-2007,752,756,1,12,1,21770,87.25850509259041,24,w,Individual,5,0,412.62,0,Fully Paid
1002559,10346, 36 months,18.06,E,E4,Project Manager,3 years,MORTGAGE,78173.66354983648,Not Verified,May-2018,credit_card,credit_card,804xx,IL,12.517483435288925,Apr-1992,800,804,0,8,0,1887,61.96383013503429,20,w,Joint App,0,0,374.34,0,Fully Paid
1002560,1587, 36 months,9.06,B,B2,Teacher,6 years,RENT,73068.4234361991,Not Verified,May-2016,debt_consolidation,debt_consolidation,988xx,NY,10.293203180706069,Jul-2004,668,672,1,10,0,18781,87.01826316509856,21,f,Individual,5,0,50.51,0,Fully Paid
1002561,13763, 60 months,23.25,F,F5,Sales,3 years,RENT,74082.55056709786,Source Verified,Apr-2018,debt_consolidation,debt_consolidation,153xx,NY,11.144143189764627,Jan-2010,743,747,0,9,0,14337,64.26442038273623,10,w,Individual,4,0,389.96,0,Fully Paid
1002562,5079, 36 months,18.09,E,E3,Project Manager,6 years,RENT,88783.71066615431,Not Verified,Jan-2018,debt_consolidation,debt_consolidation,365xx,VA,14.58689682880673,Sep-2002,770,774,1,6,0,20023,57.107840670723355,19,w,Individual,0,0,183.85,0,Fully Paid
1002563,37116, 36 months,17.5,D,D3,Teacher,3 years,MORTGAGE,83576.87014949661,Not Verified,Aug-2015,credit_card,credit_card,903xx,CO,17.643639651634583,Jun-2005,744,748,0,7,0,35326,40.183000636905184,11,w,Individual,4,1,1332.54,0,Fully Paid
1002564,21215, 36 months,23.08,F,F4,Sales,8 years,RENT,45724.215377444874,Source Verified,Aug-2018,car,car,144xx,MA,19.367365556561765,Dec-2000,764,768,0,8,0,40495,47.748790349931724,21,f,Individual,1,0,822.11,0,Fully Paid
1002565,26817, 36 months,23.15,F,F4,Teacher,4 years,MORTGAGE,48328.17294029951,Not Verified,Oct-2017,small_business,small_business,213xx,GA,19.396313325896916,Jan-1999,680,684,0,5,0,36085,36.25765118254265,11,f,Individual,4,0,1040.18,0,Fully Paid
1002566,25765, 36 months,7.71,A,A5,Director,6 years,ANY,24542.392635317814,Verified,Jul-2017,debt_consolidation,debt_consolidation,149xx,WA,24.691184874522847,Apr-2001,800,804,2,8,0,31180,33.05619029102018,26,w,Individual,9,0,803.94,0,Fully Paid
1002567,31112, 36 months,7.9,A,A3,Engineer,10+ years,MORTGAGE,16725.977278952174,Verified,Nov-2017,major_purchase,major_purchase,411xx,PA,13.764062664279525,Mar-1997,736,740,3,6,0,5752,26.487628826108335,22,f,Individual,4,0,973.5,0,Fully Paid
1002568,26556, 60 months,20.24,E,E3,nan,7 years,MORTGAGE,58737.377829515855,Source Verified,Aug-2015,debt_consolidation,debt_consolidation,176xx,MI,20.136653042856906,Feb-1991,671,675,0,9,0,47522,57.80941767835501,12,w,Individual,3,0,707.12,1,Charged Off
1002569,19099, 60 months,24.14,F,F3,Teacher,4 years,OWN,167199.44067162226,Verified,Jul-2017,medical,medical,370xx,FL,20.24391929363931,Mar-2008,723,727,0,9,0,14522,29.692865252041912,24,f,Individual,6,0,550.99,0,Fully Paid
1002570,7450, 36 months,18.33,E,E3,Engineer,< 1 year,MORTGAGE,33419.9256103344,Verified,Sep-2018,home_improvement,home_improvement,437xx,UT,3.86763079405974,Oct-1990,803,807,3,15,0,25011,64.38609536854825,21,w,Individual,7,0,270.57,0,Fully Paid
1002571,14230, 60 months,13.23,C,C5,RN,3 years,RENT,42194.12288025101,Verified,Dec-2016,vacation,vacation,804xx,KS,25.174079704622617,Aug-1999,738,742,0,9,0,14836,91.98476574483644,11,f,Individual,9,0,325.45,0,Fully Paid
1002572,30009, 36 months,18.67,E,E4,Project Manager,2 years,MORTGAGE,62286.997647248005,Not Verified,May-2015,debt_consolidation,debt_consolidation,727xx,MS,11.126706319762372,Apr-1992,744,748,1,10,0,38885,38.5468854211385,20,w,Individual,9,0,1095.01,0,Fully Paid
1002573,6433, 36 months,9.58,B,B4,Director,6 years,MORTGAGE,48946.60226066576,Not Verified,Mar-2015,credit_card,credit_card,910xx,TX,1.8784649887861793,Sep-2002,824,828,1,15,0,10690,64.29671994956465,31,f,Individual,3,0,206.31,0,Fully Paid
1002574,34866, 36 months,24.96,F,F1,Supervisor,5 years,MORTGAGE,58904.03579303292,Verified,May-2015,credit_card,credit_card,931xx,DE,25.88404487015672,Mar-2003,758,762,2,9,0,5892,86.36916628859143,20,w,Individual,7,0,1385.53,0,Fully Paid
1002575,19710, 36 months,13.62,C,C4,Project Manager,5 years,OWN,74068.1557566069,Verified,Jul-2018,debt_consolidation,debt_consolidation,488xx,PA,1.9367112435553357,Jul-2005,753,757,4,8,0,47537,35.91006980177171,27,w,Individual,6,0,670.01,0,Fully Paid
1002576,12439, 60 months,23.63,F,F3,Engineer,1 year,MORTGAGE,67928.1508152476,Source Verified,Dec-2017,moving,moving,376xx,NY,17.675278319485216,Jan-1996,823,827,1,5,1,40822,40.87776983491358,17,f,Individual,7,0,355.18,0,Fully Paid
1002577,17021, 36 months,13.62,C,C2,Project Manager,5 years,MORTGAGE,33772.4452323874,Verified,Jul-2016,debt_consolidation,debt_consolidation,815xx,NC,24.845987314938633,Oct-2001,740,744,0,8,0,5851,98.00588752174914,11,w,Individual,9,0,578.6,0,Fully Paid
1002578,7416, 36 months,23.56,F,F3,Manager,7 years,OWN,31833.443580284293,Source Verified,Apr-2016,house,house,274xx,NE,39.94344058904786,Sep-2010,827,831,0,10,1,36388,14.248471117760452,23,w,Individual,4,0,289.24,1,Charged Off
1002579,7980, 36 months,11.71,C,C3,Supervisor,4 years,RENT,68173.75481533662,Verified,Feb-2018,other,other,241xx,PA,20.605096481677073,Jan-1990,722,726,0,8,1,42026,9.788484030945765,10,f,Joint App,3,0,263.95,0,Fully Paid
1002580,19058, 36 months,20.21,E,E4,RN,8 years,MORTGAGE,26592.078409966718,Not Verified,Mar-2015,credit_card,credit_card,697xx,VT,12.727847813157087,Jul-1997,727,731,1,6,0,669,19.98265156782707,19,w,Individual,2,0,710.3,0,Fully Paid
1002581,12101, 36 months,24.02,F,F1,RN,10+ years,MORTGAGE,114934.067263893,Source Verified,Jul-2016,debt_consolidation,debt_consolidation,571xx,MO,19.680578296212868,Oct-1996,782,786,1,17,0,48239,19.201834446632027,34,w,Individual,7,1,474.88,0,Fully Paid
1002582,33602, 36 months,17.92,D,D5,Manager,1 year,MORTGAGE,71269.0448516262,Verified,Dec-2015,debt_consolidation,debt_consolidation,222xx,IN,7.828152205093941,Nov-2003,705,709,1,11,0,19479,92.94214149679618,12,w,Individual,9,0,1213.44,1,Charged Off
1002583,10122, 36 months,18.55,E,E2,Project Manager,6 years,RENT,118003.7406476439,Source Verified,Jan-2017,other,other,229xx,IN,17.518040362330147,Oct-2000,687,691,0,10,0,23248,22.88941790533049,14,f,Individual,6,0,368.73,0,Fully Paid
1002584,13576, 60 months,7.06,A,A2,Engineer,5 years,RENT,81374.52092081287,Verified,Aug-2015,credit_card,credit_card,426xx,WI,34.923177572326026,Mar-2003,734,738,0,7,0,15576,6.136933089536745,23,f,Joint App,6,1,269.21,0,Fully Paid
1002585,28516, 36 months,14.48,D,D1,Manager,10+ years,MORTGAGE,57411.65574854505,Not Verified,Aug-2016,vacation,vacation,982xx,MN,5.444938531224506,Jun-2002,719,723,1,14,2,48459,64.59276162171003,26,w,Individual,9,0,981.27,0,Fully Paid
1002586,23433, 36 months,22.74,F,F3,Sales,10+ years,MORTGAGE,109986.43009617519,Source Verified,Apr-2015,debt_consolidation,debt_consolidation,251xx,VA,21.205931173315804,Sep-1997,775,779,1,10,0,9816,43.921377727957065,15,f,Joint App,8,0,903.91,0,Fully Paid
1002587,2089, 36 months,9.82,B,B5,nan,5 years,RENT,59181.72533363335,Source Verified,Dec-2015,major_purchase,major_purchase,871xx,NE,24.832267813508185,Feb-2005,692,696,0,11,0,27415,35.52850127256573,16,w,Individual,9,1,67.23,0,Fully Paid
1002588,38346, 60 months,20.77,E,E5,Manager,3 years,MORTGAGE,46980.04300381544,Not Verified,Dec-2016,other,other,698xx,NH,12.520356182058258,Feb-1994,798,802,0,12,1,30476,41.03699723531894,20,f,Individual,3,0,1032.43,0,Fully Paid
1002589,10127, 36 months,18.51,E,E5,Teacher,9 years,RENT,22289.87700170463,Verified,Apr-2017,vacation,vacation,970xx,MI,29.43656693523316,Mar-2002,784,788,3,8,0,30126,69.9751395054325,20,f,Individual,4,0,368.71,0,Fully Paid
1002590,11487, 60 months,9.46,B,B4,Director,8 years,MORTGAGE,54867.42449944173,Not Verified,Apr-2017,debt_consolidation,debt_consolidation,523xx,KY,26.548217358018547,Nov-2001,811,815,0,9,0,33578,52.36973503453147,21,w,Individual,5,0,241.02,0,Fully Paid
1002591,1155, 60 months,10.66,B,B3,Supervisor,5 years,RENT,37062.4651877439,Not Verified,Nov-2016,debt_consolidation,debt_consolidation,752xx,TX,18.55957165310299,Sep-2003,775,779,0,12,0,49077,28.393295041560627,25,w,Individual,4,0,24.92,0,Fully Paid
1002592,2958, 60 months,13.55,C,C2,Sales,nan,MORTGAGE,38405.18903167366,Source Verified,Jun-2017,debt_consolidation,debt_consolidation,557xx,AL,25.602855087514044,Aug-2003,844,848,2,13,0,11220,77.24503722545252,29,w,Individual,4,1,68.14,0,Fully Paid
1002593,11693, 60 months,7.5,A,A2,RN,7 years,RENT,44422.84216305681,Verified,Apr-2017,credit_card,credit_card,784xx,CO,33.610664225700624,Jan-1991,777,781,1,8,0,26269,95.98893588811693,11,w,Joint App,2,1,234.3,0,Fully Paid
1002594,39547, 60 months,23.27,F,F3,Supervisor,7 years,MORTGAGE,81876.88741294386,Source Verified,May-2018,credit_card,credit_card,225xx,MO,24.01640196299423,Dec-2000,819,823,1,11,0,46680,60.927289249260554,22,w,Individual,8,0,1120.99,0,Fully Paid
1002595,29795, 36 months,19.79,E,E2,Manager,3 years,MORTGAGE,32362.35187250827,Source Verified,Sep-2018,debt_consolidation,debt_consolidation,634xx,MS,22.751758998015504,Jan-1993,763,767,1,5,0,10648,8.286361312030465,17,f,Individual,0,0,1104.1,0,Fully Paid
1002596,22447, 60 months,12.3,C,C4,Supervisor,4 years,RENT,27353.88642484358,Source Verified,Jul-2018,debt_consolidation,debt_consolidation,640xx,NM,24.85706845927278,Sep-1996,722,726,0,6,0,34736,37.64915617381218,11,w,Individual,3,1,502.73,1,Charged Off
1002597,37598, 36 months,10.99,B,B5,Supervisor,1 year,MORTGAGE,20458.07207339576,Source Verified,Aug-2016,credit_card,credit_card,346xx,MO,27.02299605847768,Aug-1990,734,738,1,10,0,10280,42.28219229932137,28,f,Individual,5,0,1230.73,0,Fully Paid
1002598,26215, 60 months,18.79,E,E2,RN,3 years,RENT,77488.07640502634,Not Verified,Oct-2017,debt_consolidation,debt_consolidation,691xx,WV,16.126147593242276,May-1997,832,836,0,9,1,45440,9.157677771660989,28,f,Individual,0,0,677.01,0,Fully Paid
1002599,10794, 36 months,13.48,C,C4,Teacher,nan,MORTGAGE,90128.20292492803,Verified,Sep-2017,debt_consolidation,debt_consolidation,589xx,MD,33.47254612925391,Apr-2003,750,754,5,11,0,23099,52.01865377127726,19,f,Joint App,7,0,366.19,1,Charged Off
1002600,34209, 36 months,9.59,B,B5,Director,5 years,RENT,43378.07643422441,Not Verified,Mar-2018,debt_consolidation,debt_consolidation,777xx,MT,36.956147084690684,Jul-1996,674,678,0,14,0,48971,7.357243602967733,17,w,Individual,5,0,1097.25,1,Charged Off
1002601,23424, 36 months,13.6,C,C3,Supervisor,1 year,RENT,45042.36271710467,Source Verified,Jan-2015,debt_consolidation,debt_consolidation,601xx,DE,24.874525279454822,May-1999,707,711,3,12,0,22549,6.69953399187354,20,f,Individual,0,0,796.03,0,Fully Paid
1002602,38396, 36 months,22.43,F,F3,Driver,1 year,OWN,101044.25846370573,Source Verified,Mar-2016,debt_consolidation,debt_consolidation,387xx,MA,35.469117664034115,Jul-1998,782,786,0,11,0,31292,36.248349655794144,23,f,Individual,1,0,1474.92,0,Fully Paid
1002603,7370, 36 months,6.37,A,A4,Supervisor,9 years,RENT,54820.64919046077,Source Verified,Oct-2016,credit_card,credit_card,429xx,ID,29.78600812266212,Oct-1996,792,796,0,12,0,31584,14.994541319266952,31,w,Individual,3,0,225.45,0,Fully Paid
1002604,10528, 36 months,12.37,C,C4,Supervisor,6 years,MORTGAGE,75056.0857707215,Not Verified,Mar-2016,debt_consolidation,debt_consolidation,891xx,LA,16.91860008867551,Jun-1996,781,785,0,11,0,14922,14.289209616623477,21,f,Individual,5,0,351.54,0,Fully Paid
1002605,29276, 60 months,24.25,F,F4,Manager,9 years,MORTGAGE,68922.65193718237,Not Verified,Oct-2017,debt_consolidation,debt_consolidation,848xx,NH,19.84069498474701,Mar-2003,727,731,1,4,0,5879,34.32268124292522,14,w,Individual,6,0,846.46,1,Charged Off
1002606,9179, 36 months,5.3,A,A2,Sales,4 years,RENT,32936.52079577506,Verified,May-2018,credit_card,credit_card,594xx,KS,22.80525826496764,May-1993,690,694,1,4,0,17732,27.850656080715407,4,w,Individual,6,0,276.34,0,Fully Paid
1002607,17843, 36 months,22.81,F,F3,Director,2 years,RENT,77335.53838379563,Verified,Aug-2018,credit_card,credit_card,331xx,NY,37.56260914847617,May-2000,752,756,1,7,0,28163,63.54652995288082,16,f,Individual,3,0,688.93,0,Fully Paid
1002608,24952, 60 months,12.5,C,C2,Teacher,2 years,MORTGAGE,66255.0978394775,Source Verified,Nov-2016,debt_consolidation,debt_consolidation,194xx,MS,25.92317643453615,Apr-1992,781,785,0,9,0,14027,31.097372611185246,25,f,Individual,4,1,561.37,0,Fully Paid
1002609,34160, 36 months,8.79,B,B2,Supervisor,6 years,MORTGAGE,42578.95727853259,Not Verified,Jan-2015,debt_consolidation,debt_consolidation,370xx,MD,20.34175854137147,Dec-2004,722,726,1,9,0,7139,57.63873290030248,25,w,Individual,1,0,1082.94,0,Fully Paid
1002610,30516, 36 months,5.3,A,A5,nan,2 years,MORTGAGE,48890.94718793312,Not Verified,Apr-2017,debt_consolidation,debt_consolidation,884xx,AL,4.935946079602824,Mar-2005,827,831,4,8,0,9407,60.099470700743005,13,f,Individual,0,0,918.71,0,Fully Paid
1002611,11449, 36 months,6.41,A,A4,Driver,nan,MORTGAGE,26290.283383336046,Source Verified,Jul-2017,debt_consolidation,debt_consolidation,403xx,NY,26.67521689035823,Mar-2007,849,853,0,9,0,1237,35.4838777391736,13,w,Individual,3,0,350.43,0,Fully Paid
1002612,22125, 60 months,8.44,B,B2,RN,9 years,MORTGAGE,96875.11011955555,Source Verified,Jun-2017,debt_consolidation,debt_consolidation,828xx,NC,22.189062182533647,May-2008,727,731,0,12,0,43465,76.9921825812051,16,w,Individual,0,0,453.29,0,Fully Paid
1002613,8418, 36 months,5.51,A,A5,Director,4 years,RENT,67209.16057420782,Source Verified,Nov-2015,major_purchase,major_purchase,184xx,GA,37.600326749149545,Jan-2010,764,768,1,8,0,8119,16.210866758111663,25,w,Individual,7,0,254.23,0,Fully Paid
1002614,23746, 36 months,11.72,C,C1,Project Manager,1 year,MORTGAGE,64851.96263873237,Source Verified,Feb-2015,debt_consolidation,debt_consolidation,461xx,NE,13.681325043181577,Jan-1999,711,715,1,12,0,9734,63.00498619264919,24,f,Individual,5,0,785.54,0,Fully Paid
1002615,3454, 36 months,5.9,A,A5,Manager,2 years,MORTGAGE,62994.08581055508,Not Verified,Mar-2015,debt_consolidation,debt_consolidation,671xx,MS,31.817745858014042,Jul-2009,773,777,0,18,2,3408,19.248455699187183,29,f,Individual,2,0,104.92,0,Fully Paid
1002616,18761, 36 months,18.84,E,E1,Sales,3 years,RENT,75695.04614953684,Source Verified,Sep-2017,debt_consolidation,debt_consolidation,955xx,PA,11.301107687814454,Aug-1994,778,782,0,11,0,37434,46.18534864688164,26,w,Individual,9,1,686.19,0,Fully Paid
1002617,16223, 36 months,21.38,E,E1,Sales,< 1 year,MORTGAGE,24374.195204244617,Verified,Oct-2017,major_purchase,major_purchase,993xx,NM,6.871076265614433,Apr-2002,727,731,0,13,0,22356,67.17639093756004,17,w,Individual,6,0,614.37,1,Charged Off
1002618,7701, 60 months,22.75,F,F1,Project Manager,3 years,MORTGAGE,311922.2942394589,Source Verified,Jun-2017,debt_consolidation,debt_consolidation,348xx,CO,0.487681389715795,Feb-1997,812,816,2,9,0,2066,95.64137182280389,26,f,Individual,5,0,215.99,0,Fully Paid
1002619,3597, 60 months,15.98,D,D1,Driver,3 years,MORTGAGE,92263.94106141568,Source Verified,Oct-2015,debt_consolidation,debt_consolidation,775xx,AL,35.816829904123196,Nov-2001,719,723,2,11,0,37113,19.21731313262025,17,f,Joint App,1,0,87.43,1,Charged Off
1002620,1141, 36 months,23.93,F,F4,Director,2 years,RENT,74571.81588983968,Source Verified,Mar-2015,debt_consolidation,debt_consolidation,762xx,KY,17.784748372345533,Feb-2000,827,831,0,8,1,3648,47.17062920623145,26,f,Individual,5,0,44.72,0,Fully Paid
1002621,3659, 36 months,5.11,A,A2,Manager,9 years,MORTGAGE,181930.93091277743,Verified,Mar-2016,credit_card,credit_card,852xx,RI,11.24779811662783,Apr-2002,828,832,2,10,0,6802,67.54159970012088,24,w,Individual,5,0,109.84,0,Fully Paid
1002622,21980, 60 months,7.68,A,A2,Supervisor,8 years,MORTGAGE,74058.50230064253,Not Verified,Jun-2018,other,other,976xx,AR,16.125676308430098,Feb-2000,695,699,0,14,0,16120,21.256969468381737,19,w,Individual,1,1,442.32,0,Fully Paid
1002623,10031, 36 months,10.86,B,B1,Project Manager,2 years,RENT,190523.01642091668,Verified,Jul-2015,debt_consolidation,debt_consolidation,310xx,NC,28.47406276342759,Apr-1992,846,850,0,11,0,29694,16.477493697008917,23,f,Individual,0,0,327.74,0,Fully Paid
1002624,16037, 36 months,20.78,E,E2,Teacher,1 year,RENT,214150.01784772685,Verified,Nov-2018,debt_consolidation,debt_consolidation,811xx,HI,15.730769297483317,Oct-2009,829,833,0,7,0,8670,74.7837100122806,11,f,Joint App,0,0,602.39,0,Fully Paid
1002625,39429, 36 months,22.71,F,F1,Director,6 years,MORTGAGE,135979.69339480426,Not Verified,Apr-2017,debt_consolidation,debt_consolidation,179xx,NJ,9.029236766832764,Feb-1994,798,802,0,18,0,43190,89.45117324611415,24,w,Individual,9,0,1520.33,0,Fully Paid
1002626,7142, 36 months,17.36,D,D2,Teacher,8 years,MORTGAGE,59846.48247304827,Verified,Oct-2015,debt_consolidation,debt_consolidation,176xx,MN,3.5116043673411568,Mar-1994,687,691,0,16,0,31274,89.7430224122575,28,w,Individual,0,0,255.91,0,Fully Paid
1002627,13109, 60 months,12.66,C,C5,Supervisor,5 years,MORTGAGE,57597.90596706816,Not Verified,Oct-2016,moving,moving,606xx,UT,24.86903640826156,Sep-1997,674,678,1,5,0,33044,32.06599170917656,8,f,Individual,9,0,295.99,1,Charged Off
1002628,23010, 36 months,18.32,E,E4,Driver,4 years,MORTGAGE,48292.14001129952,Source Verified,Jul-2017,debt_consolidation,debt_consolidation,161xx,AZ,38.907560538135286,Feb-1997,802,806,0,6,0,28156,86.30820749063186,11,f,Individual,3,0,835.57,1,Charged Off
